City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,amahai,-3.3333,128.9167,85.87,65,90,5.3,ID,1651374881
287,inhambane,-23.865,35.3833,66.88,91,0,5.46,MZ,1651374882
288,faanui,-16.4833,-151.75,81.3,71,15,10.89,PF,1651374882
289,luwuk,-0.9516,122.7875,85.71,72,50,4.12,ID,1651374883
290,tazovskiy,67.4667,78.7,17.33,89,26,9.1,RU,1651374883
291,semey,50.4111,80.2275,70.02,23,0,17.9,KZ,1651374884
292,mazyr,52.0495,29.2456,38.28,69,45,4.92,BY,1651374884
293,kirakira,-10.4544,161.9205,83.08,77,100,5.26,SB,1651374885
294,marystown,47.1666,-55.1483,42.85,100,100,4.03,CA,1651374786
295,hirara,24.8,125.2833,72.64,84,100,28.36,JP,1651374886
296,nakamura,32.9833,132.9333,70.05,55,100,1.23,JP,1651374886
297,kodinsk,58.6881,99.1844,41.76,96,100,4.92,RU,1651374887
298,vila velha,-20.3297,-40.2925,73.35,94,75,2.3,BR,1651374887
299,komsomolskiy,40.4272,71.7189,74.12,43,8,4.61,UZ,1651374888
300,asau,46.4333,26.4,42.96,98,80,2.75,RO,1651374888
301,fortuna,40.5982,-124.1573,53.92,81,93,3.0,US,1651374889
302,lingyuan,41.24,119.4011,60.15,27,45,16.31,CN,1651374889
303,cayenne,4.9333,-52.3333,81.09,1,20,4.0,GF,1651374890
304,evensk,61.95,159.2333,39.06,59,11,9.26,RU,1651374890
305,morant bay,17.8815,-76.4093,80.22,86,41,9.89,JM,1651374891
306,viedma,-40.8135,-62.9967,51.89,67,29,15.64,AR,1651374891
307,camana,-16.6228,-72.7111,66.18,81,79,6.53,PE,1651374892
308,salo,45.6086,10.531,58.32,75,93,11.03,IT,1651374869
309,ukiah,39.1502,-123.2078,55.85,70,0,8.05,US,1651374603
310,kayes,14.0,-11.0,93.06,18,86,4.63,ML,1651374893
311,codrington,-38.2667,141.9667,64.63,65,96,13.71,AU,1651374894
312,pacific grove,36.6177,-121.9166,60.12,85,0,11.5,US,1651374894
313,ahipara,-35.1667,173.1667,68.72,61,12,5.03,NZ,1651374896
314,tasiilaq,65.6145,-37.6368,32.16,57,22,5.61,GL,1651374897
315,northampton,40.8754,-75.2499,48.76,54,100,3.85,US,1651374897
316,constanza,47.6603,9.1758,49.17,89,71,5.01,DE,1651374898
317,smidovich,48.6,133.8167,50.23,37,87,15.19,RU,1651374899
318,bandarbeyla,9.4942,50.8122,82.76,77,85,2.86,SO,1651374900
319,klyuchi,52.2667,79.1667,67.15,30,69,4.76,RU,1651374901
320,belmonte,-15.8631,-38.8828,74.66,85,14,4.72,BR,1651374901
321,hamilton,39.1834,-84.5333,66.31,81,75,23.02,US,1651374894
322,peniche,39.3558,-9.3811,57.29,92,95,10.87,PT,1651374902
323,honningsvag,70.9821,25.9704,28.15,86,100,5.75,NO,1651374903
324,klaksvik,62.2266,-6.589,45.52,79,96,5.41,FO,1651374904
325,kholodnyy,62.7167,147.95,31.95,97,93,2.53,RU,1651374905
326,sola,-13.8833,167.55,81.99,71,100,6.06,VU,1651374906
327,juba,4.8517,31.5825,70.38,79,100,4.0,SS,1651374907
328,terekli-mekteb,44.1671,45.8698,57.74,80,3,6.4,RU,1651374908
329,lianzhou,24.7811,112.3825,59.09,91,100,7.0,CN,1651374908
330,neya,58.2972,43.8681,29.52,81,25,5.28,RU,1651374909
331,aksay,47.26,39.87,55.26,60,20,14.0,RU,1651374910
332,saquarema,-22.92,-42.5103,71.82,92,99,5.75,BR,1651374667
